DataHora,CPU_Uso(%),RAM_Usada(MB),Disco_Usado(GB),Rede_Enviado(KB/s),Rede_Recebido(KB/s)
2026-01-24 13:37:23,0.4,4779.91,33.02,238.81,9.66
2026-01-24 13:37:33,0.5,4782.71,33.02,2483.36,145.05
2026-01-24 13:37:43,0.4,4783.41,33.02,2453.05,117.47
2026-01-24 13:37:53,0.4,4783.47,33.02,2414.42,82.48
2026-01-24 13:38:03,0.3,4783.43,33.02,2432.89,94.27
2026-01-24 13:38:13,0.6,4784.48,33.02,2437.81,102.69
2026-01-24 13:38:23,0.6,4783.39,33.02,2417.39,84.02
2026-01-24 13:38:33,0.5,4785.32,33.02,2474.94,141.34
2026-01-24 13:38:43,0.4,4785.66,33.02,2455.76,115.64
2026-01-24 13:38:53,0.3,4785.53,33.02,2411.57,79.7
2026-01-24 13:39:03,0.5,4785.7,33.02,2427.01,89.91
2026-01-24 13:39:13,0.7,4788.71,33.02,2458.7,123.58
2026-01-24 13:39:23,0.5,4788.95,33.02,2423.38,90.44
2026-01-24 13:39:33,0.6,4791.08,33.02,2437.38,106.87
2026-01-24 13:39:43,0.4,4793.52,33.02,2454.72,121.09
2026-01-24 13:39:53,0.3,4793.3,33.02,2412.67,78.6
2026-01-24 13:40:03,0.6,4793.2,33.02,2452.92,114.48
2026-01-24 13:40:13,0.6,4779.86,33.02,2451.62,118.36
2026-01-24 13:40:24,0.4,4780.11,33.02,2450.75,113.87
2026-01-24 13:40:34,0.4,4781.97,33.02,2458.85,121.29
2026-01-24 13:40:44,0.4,4783.82,33.02,2468.15,140.49
2026-01-24 13:40:54,0.3,4784.71,33.02,2416.48,84.25
2026-01-24 13:41:04,1.6,4491.84,33.02,1872.19,322.9
2026-01-24 13:41:14,0.8,4504.56,33.02,121.67,2439.7
2026-01-24 13:41:24,0.6,4518.09,33.02,89.39,2421.17
2026-01-24 13:41:34,0.6,4529.88,33.02,92.33,2424.03
2026-01-24 13:41:44,0.7,4544.39,33.02,188.87,2505.93
2026-01-24 13:41:54,0.6,4556.29,33.02,90.85,2422.58
2026-01-24 13:42:04,0.7,4568.24,33.02,93.44,2425.12
2026-01-24 13:42:14,2.1,4587.14,33.02,226.74,2560.04
2026-01-24 13:42:24,0.8,4602.59,33.02,167.39,2497.47
2026-01-24 13:42:34,0.7,4611.74,33.02,216.58,2548.37
2026-01-24 13:42:44,0.8,4625.84,33.02,263.02,2486.98
2026-01-24 13:42:54,0.6,4637.91,33.02,88.95,2420.74
2026-01-24 13:43:04,0.6,4649.29,33.02,91.42,2423.17
2026-01-24 13:43:14,0.8,4665.92,33.02,117.22,2449.26
2026-01-24 13:43:24,0.6,4671.67,33.02,89.02,2421.02
2026-01-24 13:43:34,0.8,4686.62,33.02,115.74,2447.51
2026-01-24 13:43:44,0.6,4697.51,33.02,157.01,2487.18
2026-01-24 13:43:54,0.6,4709.45,33.02,102.21,2434.67
2026-01-24 13:44:04,0.5,4722.11,33.02,93.51,2425.58
2026-01-24 13:44:14,0.8,4739.44,33.02,127.1,2459.05
2026-01-24 13:44:24,0.6,4751.68,33.02,92.41,2424.02
2026-01-24 13:44:34,0.7,4759.48,33.02,98.96,2430.61
2026-01-24 13:44:44,0.6,4771.39,33.02,207.84,2430.65
2026-01-24 13:44:54,0.6,4783.29,33.02,89.17,2421.24
2026-01-24 13:45:04,0.8,4795.72,33.02,113.81,2445.54
2026-01-24 13:45:14,0.9,4797.12,33.02,135.98,2467.79
2026-01-24 13:45:24,0.8,4800.53,33.02,236.25,2070.12
2026-01-24 13:45:34,0.5,4801.97,33.02,2142.47,177.18
2026-01-24 13:45:44,0.5,4801.94,33.02,2476.46,143.56
2026-01-24 13:45:54,0.3,4800.5,33.02,2442.35,104.54
2026-01-24 13:46:04,0.4,4800.73,33.02,2418.7,85.53
2026-01-24 13:46:14,0.6,4811.99,33.02,2434.13,95.63
2026-01-24 13:46:24,0.4,4823.09,33.02,2419.93,87.14
2026-01-24 13:46:34,0.5,4810.18,33.02,2424.0,89.2
2026-01-24 13:46:44,0.4,4812.39,33.02,2468.91,133.94
2026-01-24 13:46:54,0.3,4811.96,33.02,2421.19,84.47
2026-01-24 13:47:04,0.4,4817.14,33.02,2425.65,92.71
2026-01-24 13:47:14,0.5,4819.54,33.02,2477.43,141.22
2026-01-24 13:47:24,0.4,4824.48,33.02,2418.58,84.94
2026-01-24 13:47:34,0.4,4829.08,33.02,2427.21,94.09
2026-01-24 13:47:44,0.4,4831.27,33.02,2477.07,142.95
2026-01-24 13:47:54,0.4,4833.71,33.02,2425.34,88.0
2026-01-24 13:48:04,1.9,4833.62,33.02,2425.39,98.66
2026-01-24 13:48:14,0.6,4834.71,33.02,2450.4,115.88
2026-01-24 13:48:24,0.3,4834.09,33.02,2424.16,90.0
2026-01-24 13:48:34,0.4,4831.95,33.02,2447.18,109.55
2026-01-24 13:48:44,0.4,4832.63,33.02,2481.43,148.53
2026-01-24 13:48:54,0.3,4829.95,33.02,2423.79,85.56
2026-01-24 13:49:04,0.3,4829.95,33.02,2417.66,86.61
2026-01-24 13:49:14,0.6,4832.62,33.02,2448.58,109.65
2026-01-24 13:49:24,0.3,4832.04,33.02,2421.82,89.82
2026-01-24 13:49:34,0.5,4830.46,33.02,2425.53,91.14
2026-01-24 13:49:44,0.8,4510.4,33.02,2282.46,196.45
2026-01-24 13:49:54,1.4,4538.55,33.02,211.69,1746.98
2026-01-24 13:50:04,0.8,4551.06,33.02,96.79,2428.8
2026-01-24 13:50:14,0.8,4566.14,33.02,144.65,2463.26
2026-01-24 13:50:24,0.7,4578.05,33.02,114.34,2446.12
2026-01-24 13:50:34,0.7,4593.64,33.02,134.7,2466.46
2026-01-24 13:50:44,0.7,4606.47,33.02,204.94,2431.32
2026-01-24 13:50:54,0.6,4613.96,33.02,105.66,2422.77
2026-01-24 13:51:04,0.7,4625.95,33.02,93.18,2424.97
2026-01-24 13:51:14,0.9,4640.41,33.02,131.36,2463.06
2026-01-24 13:51:24,0.7,4649.23,33.02,122.02,2454.06
2026-01-24 13:51:34,0.6,4660.93,33.02,108.63,2439.59
2026-01-24 13:51:44,0.6,4675.3,33.02,105.57,2436.98
2026-01-24 13:51:54,0.6,4687.41,33.02,151.37,2481.08
2026-01-24 13:52:04,0.7,4697.35,33.02,100.48,2430.18
2026-01-24 13:52:14,2.0,4716.7,33.02,165.19,2496.66
2026-01-24 13:52:24,0.7,4728.14,33.02,187.5,2519.62
2026-01-24 13:52:34,0.6,4738.06,33.02,102.45,2433.05
2026-01-24 13:52:44,0.6,4754.93,33.02,214.28,2544.07
2026-01-24 13:52:54,0.6,4768.12,33.02,210.31,2434.86
2026-01-24 13:53:04,0.6,4777.9,33.02,98.12,2430.22
2026-01-24 13:53:14,0.8,4774.39,33.02,100.61,2432.27
2026-01-24 13:53:24,0.6,4784.58,33.02,107.95,2439.67
2026-01-24 13:53:34,0.7,4796.39,33.02,111.94,2443.72
2026-01-24 13:53:44,0.5,4807.41,33.02,93.42,2424.93
2026-01-24 13:53:54,0.6,4817.02,33.02,198.93,2424.26
2026-01-24 13:54:04,0.8,4818.77,33.02,96.87,2427.9
2026-01-24 13:54:14,1.1,4825.52,33.02,903.07,786.16
2026-01-24 13:54:24,0.5,4827.71,33.02,2440.97,103.54
2026-01-24 13:54:34,0.4,4825.91,33.02,2434.87,102.11
2026-01-24 13:54:44,0.4,4825.88,33.02,2445.98,108.19
2026-01-24 13:54:54,0.5,4825.88,33.02,2473.38,142.09
2026-01-24 13:55:04,0.4,4826.87,33.02,2435.11,97.72
2026-01-24 13:55:14,0.5,4829.07,33.03,2476.59,142.76
2026-01-24 13:55:24,0.4,4830.13,33.03,2420.38,84.39
2026-01-24 13:55:34,0.5,4829.99,33.03,2465.5,130.72
2026-01-24 13:55:44,0.4,4820.2,33.03,2430.65,94.3
2026-01-24 13:55:54,0.4,4821.35,33.03,2472.87,139.52
2026-01-24 13:56:04,0.3,4821.36,33.03,2425.4,88.21
2026-01-24 13:56:14,0.5,4824.69,33.03,2425.23,91.91
2026-01-24 13:56:24,0.4,4825.67,33.03,2439.16,100.96
2026-01-24 13:56:34,0.5,4830.48,33.03,2427.56,94.45
2026-01-24 13:56:44,0.4,4827.73,33.03,2424.98,86.94
2026-01-24 13:56:54,0.4,4828.36,33.03,2423.66,94.05
2026-01-24 13:57:04,0.6,4830.64,33.03,2426.59,94.17
2026-01-24 13:57:14,0.7,4830.96,33.03,2466.35,131.94
2026-01-24 13:57:24,0.3,4831.33,33.03,2437.68,100.94
2026-01-24 13:57:34,0.6,4832.63,33.03,2452.69,118.75
2026-01-24 13:57:44,0.4,4838.36,33.03,2440.68,102.6
2026-01-24 13:57:54,0.3,4834.12,33.03,2418.33,90.63
2026-01-24 13:58:04,0.3,4834.89,33.03,2428.9,93.42
2026-01-24 13:58:14,0.5,4840.7,33.03,2429.52,95.18
2026-01-24 13:58:24,0.3,4846.59,33.03,2427.99,95.61
2026-01-24 13:58:34,1.0,4519.48,33.03,1546.04,214.62
2026-01-24 13:58:44,1.4,4550.71,33.03,151.02,2266.62
